STCTNAME,FIELD_NAME,API_CRUDE,SRC,CRN,SU100,POUR_POINT,CAR_CR_WT,LT_GAS_VOL,GAS_NP_VOL,RESDUM_VOL,TIPO_CRUDO,CLASE_AZUFRE
CALIFORNIA,MONTEBELLO,23.0,0.75,0.0,133.0,5.0,0.0,0.6,10.6,35.3,Mediano,Agrio (sour) ≥ 0.5%S
CALIFORNIA,RICHFIELD,22.3,1.09,0.0,365.0,45.0,0.0,2.1,14.7,42.0,Mediano,Agrio (sour) ≥ 0.5%S
CALIFORNIA,VENTURA,29.3,0.9,0.0,60.0,15.0,0.0,2.9,22.4,28.6,Mediano,Agrio (sour) ≥ 0.5%S
OHIO,MECCA,26.6,0.13,0.0,790.0,5.0,0.0,0.0,0.0,67.2,Mediano,Dulce (sweet) < 0.5%S
WYOMING,HAMILTON DOME,25.2,2.09,0.0,0.0,0.0,0.0,3.7,17.6,39.8,Mediano,Agrio (sour) ≥ 0.5%S
WYOMING,PINE MOUNTAIN,17.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,62.2,Pesado,Agrio (sour) ≥ 0.5%S
WYOMING,SHANNON,35.6,0.16,0.0,0.0,5.0,0.0,0.0,0.0,42.4,Liviano,Dulce (sweet) < 0.5%S
WYOMING,NEWCASTLE,37.0,0.15,0.0,0.0,5.0,0.0,7.0,31.6,21.1,Liviano,Dulce (sweet) < 0.5%S
WYOMING,MULE CREEK,31.7,0.14,0.0,0.0,30.0,0.0,0.0,11.7,32.8,Liviano,Dulce (sweet) < 0.5%S
MONTANA,CAT CREEK,49.7,0.36,0.0,0.0,5.0,0.0,9.0,63.2,0.0,Liviano,Dulce (sweet) < 0.5%S
WYOMING,BIG MUDDY,42.1,0.03,0.0,0.0,0.0,0.0,3.6,22.2,24.1,Liviano,Dulce (sweet) < 0.5%S
WYOMING,FERRIS,36.6,0.19,0.0,0.0,0.0,0.0,7.9,31.1,27.0,Liviano,Dulce (sweet) < 0.5%S
WYOMING,WARM SPRINGS,11.9,2.61,0.0,0.0,15.0,0.0,0.0,5.4,51.5,Pesado,Agrio (sour) ≥ 0.5%S
WYOMING,LANDER,23.5,2.62,0.0,0.0,5.0,0.0,1.4,11.0,37.7,Mediano,Agrio (sour) ≥ 0.5%S
WYOMING,MAVERICK SPRINGS,22.0,2.46,0.0,0.0,0.0,0.0,0.0,8.6,41.1,Pesado,Agrio (sour) ≥ 0.5%S
WYOMING,PLUNKETT,35.8,0.55,0.0,0.0,25.0,0.0,0.0,21.0,16.6,Liviano,Agrio (sour) ≥ 0.5%S
WYOMING,ELK BASIN,39.6,0.14,0.0,0.0,0.0,0.0,12.6,40.5,16.9,Liviano,Dulce (sweet) < 0.5%S
WYOMING,OSAGE,37.6,0.29,0.0,0.0,5.0,0.0,10.8,34.8,24.0,Liviano,Dulce (sweet) < 0.5%S
WYOMING,LANCE CREEK,40.4,0.18,0.0,0.0,0.0,0.0,7.4,33.5,22.3,Liviano,Dulce (sweet) < 0.5%S
WYOMING,LOST SOLDIER,30.2,0.11,0.0,0.0,0.0,0.0,1.5,12.8,23.8,Mediano,Dulce (sweet) < 0.5%S
COLORADO,FLORENCE-CANON CITY,29.3,0.17,0.0,0.0,55.0,0.0,0.0,8.9,35.8,Mediano,Dulce (sweet) < 0.5%S
OKLAHOMA,CANARY,31.7,0.32,0.0,55.0,15.0,0.0,2.3,20.4,24.9,Liviano,Dulce (sweet) < 0.5%S
KANSAS,PERU-SEDAN,30.2,0.25,0.0,70.0,10.0,0.0,2.3,19.0,33.3,Mediano,Dulce (sweet) < 0.5%S
KANSAS,PERU-SEDAN,28.9,0.24,0.0,86.0,5.0,0.0,1.0,12.6,31.8,Mediano,Dulce (sweet) < 0.5%S
KANSAS,PERU-SEDAN,33.4,0.12,0.0,62.0,28.0,0.0,2.0,20.6,31.8,Liviano,Dulce (sweet) < 0.5%S
KANSAS,WINFIELD,34.4,0.23,0.0,49.0,15.0,0.0,1.0,25.9,21.7,Liviano,Dulce (sweet) < 0.5%S
KANSAS,ELROD,34.4,0.2,0.0,50.0,5.0,0.0,4.1,25.9,23.7,Liviano,Dulce (sweet) < 0.5%S
KANSAS,AUGUSTA,32.1,0.41,0.0,56.0,30.0,0.0,1.8,24.2,24.3,Liviano,Dulce (sweet) < 0.5%S
KANSAS,EL DORADO,34.4,0.29,0.0,47.0,15.0,0.0,3.1,27.3,20.3,Liviano,Dulce (sweet) < 0.5%S
KANSAS,POLHAMUS,43.8,0.14,0.0,38.0,25.0,0.0,14.9,45.0,12.9,Liviano,Dulce (sweet) < 0.5%S
KANSAS,ELBING,33.8,0.29,0.0,44.0,20.0,0.0,4.2,29.8,17.4,Liviano,Dulce (sweet) < 0.5%S
KANSAS,FLORENCE + PEABODY,32.8,0.23,0.0,53.0,10.0,0.0,2.2,25.1,21.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BILLINGS,40.4,0.16,0.0,38.0,0.0,0.0,12.1,40.4,13.9,Liviano,Dulce (sweet) < 0.5%S
KANSAS,BLANKENSHIP,37.4,0.3,0.0,49.0,10.0,0.0,9.5,32.8,24.0,Liviano,Dulce (sweet) < 0.5%S
KANSAS,TEETER,36.8,0.19,0.0,42.0,25.0,0.0,6.0,30.1,20.9,Liviano,Dulce (sweet) < 0.5%S
KANSAS,ALTOONA,32.1,0.25,0.0,77.0,30.0,0.0,0.0,16.2,33.2,Liviano,Dulce (sweet) < 0.5%S
KANSAS,NEW ALBANY,31.9,0.27,0.0,63.0,5.0,0.0,6.4,24.7,32.3,Liviano,Dulce (sweet) < 0.5%S
KANSAS,NEODESHA,35.8,0.23,0.0,46.0,5.0,0.0,8.5,29.9,26.1,Liviano,Dulce (sweet) < 0.5%S
KANSAS,JEFFERSON-SYCAMORE,34.0,0.24,0.0,47.0,25.0,0.0,3.5,25.3,25.0,Liviano,Dulce (sweet) < 0.5%S
KANSAS,WAYSIDE-HAVANA,28.4,0.37,0.0,107.0,5.0,0.0,3.2,17.3,38.9,Mediano,Dulce (sweet) < 0.5%S
COLORADO,RANGELY,41.3,0.06,0.0,0.0,0.0,0.0,6.3,34.6,16.5,Liviano,Dulce (sweet) < 0.5%S
KANSAS,TYRO,29.5,0.34,0.0,77.0,20.0,0.0,4.2,14.2,37.0,Mediano,Dulce (sweet) < 0.5%S
KANSAS,PAOLA-RANTOUL,29.3,0.51,0.0,112.0,5.0,0.0,6.2,22.4,36.9,Mediano,Agrio (sour) ≥ 0.5%S
KANSAS,PAOLA-RANTOUL,27.1,0.57,0.0,131.0,5.0,0.0,3.1,17.1,36.5,Mediano,Agrio (sour) ≥ 0.5%S
KANSAS,YATES CENTER,27.7,0.46,0.0,92.0,40.0,0.0,0.0,7.8,33.8,Mediano,Dulce (sweet) < 0.5%S
KANSAS,IOLA,19.5,0.66,0.0,103.0,5.0,0.0,0.0,0.8,54.0,Pesado,Agrio (sour) ≥ 0.5%S
KANSAS,ELSMORE + MORAN,30.2,0.32,0.0,76.0,5.0,0.0,2.5,20.2,31.2,Mediano,Dulce (sweet) < 0.5%S
KANSAS,URBANA,30.0,0.32,0.0,73.0,5.0,0.0,3.4,18.8,32.1,Mediano,Dulce (sweet) < 0.5%S
KANSAS,HUMBOLDT-CHANUTE,29.7,0.31,0.0,75.0,5.0,0.0,0.0,15.9,31.3,Mediano,Dulce (sweet) < 0.5%S
KANSAS,ERIE,31.1,0.3,0.0,62.0,5.0,0.0,3.5,21.2,29.3,Mediano,Dulce (sweet) < 0.5%S
OKLAHOMA,DELAWARE-CHILDERS,31.3,0.19,0.0,57.0,9.0,0.0,1.9,19.9,29.1,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,DELAWARE-CHILDERS,33.2,0.23,0.0,49.0,5.0,0.0,4.7,25.3,22.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,ALLUWE + COODYS BLUFF,32.1,0.0,0.0,51.0,5.0,0.0,1.8,22.1,25.8,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,MERVINE,40.4,0.15,0.0,37.0,25.0,0.0,8.6,35.9,15.8,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BLACKWELL + DILWORTH,39.0,0.24,0.0,38.0,5.0,0.0,7.8,36.3,17.9,Liviano,Dulce (sweet) < 0.5%S
